artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
834,,"ATU 5, pl. 015, W 6756,c",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14846",,,,,,,0,0,0,0,67.0,25.0,45.0,,,"W 06756,c","Pe XVI,3","im Schutt der Schicht IV// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6756,c; 292A","67x45x25 - Pe XVI,3, in the debris of level IV - ATU 1, 292a - 1.2.1930 - a parallel text is W 6984,a = ATU 1, 292b.; ",,," ",0,0,,,0,0,0,0,,
836,,"ATU 5, pl. 015, W 6760,a",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14701",,,,,,,0,0,0,0,34.0,14.0,26.0,,,"W 06760,a","Pd XVI,3","O; 0,2 - 0,5 m unter der Höhe des 3. Traufpflasters der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6760,a; 17","34x26x14 - Pd XVI,3, E, 0.2-0.5 m below the 3rd rain pavement of level III - ATU 1, 17 - 1.2.1930.; ",,," ",0,0,,,0,0,0,0,,
837,,"ATU 5, pl. 015, W 6760,b",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15114",,,,,,,0,0,0,0,66.0,23.0,35.0,,,"W 06760,b","Pd XVI,3","O; 0,2 - 0,5 m unter der Höhe des 3. Traufpflasters der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6760,b; 531","66x35x23 - same locus as W 6760,a - ATU 1, 531 - 1.2.1930.; ",,," ",0,0,,,0,0,0,0,,
838,,"ATU 5, pl. 015, W 6760,c",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14920",,,,,,,0,0,0,0,60.0,20.0,32.0,,,"W 06760,c","Pd XVI,3","O; 0,2 - 0,5 m unter der Höhe des 3. Traufpflasters der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6760,c; 384","60x32x20 - same locus as W 6760,a - ATU 1, 384 - 1.2.1930.; ",,," ",0,0,,,0,0,0,0,,
839,,"ATU 5, pl. 015, W 6760,d",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15211",,,,,,,0,0,0,0,48.0,39.0,38.0,,,"W 06760,d","Pd XVI,3","O; 0,2 - 0,5 m unter der Höhe des 3. Traufpflasters der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 15, W 6760,d; 366","48x38x39 - same locus as W 6760,a - ATU 1, 366 - 1.2.1930.; ",,," ",0,0,,,0,0,0,0,,
840,,"ATU 5, pl. 016, W 6760,e",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15178",,,,,,,0,0,0,0,24.0,14.0,42.0,,,"W 06760,e","Pd XVI,3","O; 0,2 - 0,5 m unter der Höhe des 3. Traufpflasters der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 16, W 6760,e; 536","24x42x14 - same locus as W 6760,a - ATU 1, 536 - 1.2.1930.; ",,," ",0,0,,,0,0,0,0,,
841,,"ATU 5, pl. 016, W 6760,f",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,S999999,"VAT 15362",,,,,,,0,0,0,0,42.0,26.0,22.0,,,"W 06760,f","Pd XVI,3","O; 0,2 - 0,5 m unter der Höhe des 3. Traufpflasters der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 16, W 6760,f; 564","42x22x26 - same locus as W 6760,a - ATU 1, 564 - 1.2.1930 - sealed tablet.; ",,," ",0,0,,,0,0,0,0,,
844,,"ATU 5, pl. 016, W 6786,d",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15361",,,,,,,0,0,0,0,32.0,19.0,31.0,,,"W 06786,d","Pb XVI,3","an der aus zwei Schichten bestehenden Riemchenmauer der Schicht II unter dem Ur III-Zingel",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 16, W 6786,d; 563","32x31x19 - Pb XVI,3, against the two-layer Riemchen wall of level II below the Ur III enclosure - ATU 1, 563 - 4.2.1930.; ",,," ",0,0,,,0,0,0,0,,
846,,"ATU 5, pl. 016, W 6820",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15182",,,,,,,0,0,0,0,25.0,23.0,47.0,,,"W 06820","Pb XVI,3","an der aus zwei Schichten bestehjenden Riemchenmauer der Schicht II unter dem Ur III-Zingel",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 16, W 6820; 555","25x47x23 - same locus as W 6786,d - ATU 1, 555 - 5.2.1930.; ",,," ",0,0,,,0,0,0,0,,
849,,"ATU 5, pl. 017, W 6855",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15109",,,,,,,0,0,0,0,63.0,28.0,58.0,,,"W 06855","Pe XVI,2","an der Wand von Schicht II in Fußbodenhöhe unter Ur III-Raum",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 17, W 6855; 480","63x58x28 - Pc XVI,2, against the wall of level II in height of the floor below Ur III room - ATU 1, 480 - 7.2.1930.; ",,," ",0,0,,,0,0,0,0,,
