"tablet.id","signs.orig.vec","signs.expand.vec","num.char"
"P325163","1(N48) _ 7(N34) _ 3(N14) _ BARA2~a#","N48 _ N34 N34 N34 N34 N34 N34 N34 _ N14 N14 N14 _ BARA2~a",15
"P325222","1(N45) _ 8(N14)# _ SZE~a","N45 _ N14 N14 N14 N14 N14 N14 N14 N14 _ SZE~a",12
"P006288","1(N01) _ GAL~a _ SZU2 _ 3(N57) _ 1(N01) _ GESZTU~b _ SZIM~a _ SZU _ 1(N01) _ SI4~a _ 1(N01) _ 1(N01) _ SI _ UR3~b1 _ 1(N01) _ AMAR","N01 _ GAL~a _ SZU2 _ N57 N57 N57 _ N01 _ GESZTU~b _ SZIM~a _ SZU _ N01 _ SI4~a _ N01 _ N01 _ SI _ UR3~b1 _ N01 _ AMAR",33
"P252172","SANGA~a _ NUN~a _ IB~a","SANGA~a _ NUN~a _ IB~a",5
"P252178","SZU _ ZATU753 _ ZATU753 _ SZE~a","SZU _ ZATU753 _ ZATU753 _ SZE~a",7
"P000131","ZATU679# _ TAK4~a _ 1(N01) _ GU _ KU6~a _ 1(N01) _ 1(N01) _ AN _ NAGAR~a _ 1(N01) _ ME~a _ NAGAR~a _ 1(N01)# _ 1(N01) _ GA'AR~b1","ZATU679 _ TAK4~a _ N01 _ GU _ KU6~a _ N01 _ N01 _ AN _ NAGAR~a _ N01 _ ME~a _ NAGAR~a _ N01 _ N01 _ GA'AR~b1",29
"P000448","1(N01) _ 1(N01) _ ERIN _ NAM2 _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ KISAL~a1# _ 1(N01) _ AD~b# _ 1(N01) _ |SZE~a.NAM2|# _ 1(N01) _ TE# _ 1(N01) _ SANGA~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ NESAG2~b _ 1(N01) _ SUKKAL _ 1(N01) _ NE~d _ 1(N01) _ UMUN2 _ 1(N01) _ KIB _ 1(N01) _ LAGAR~b2 _ LAGAR~b2 _ 1(N01) _ LAGAR~b2 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ AB2# _ 1(N01) _ NESAG2~b# _ 1(N01) _ NIMGIR# _ 1(N01)","N01 _ N01 _ ERIN _ NAM2 _ N01 _ NAM2 _ NAM2 _ N01 _ KISAL~a1 _ N01 _ AD~b _ N01 _ |SZE~a.NAM2| _ N01 _ TE _ N01 _ SANGA~a _ N01 _ N01 _ N01 _ N01 _ NESAG2~b _ N01 _ SUKKAL _ N01 _ NE~d _ N01 _ UMUN2 _ N01 _ KIB _ N01 _ LAGAR~b2 _ LAGAR~b2 _ N01 _ LAGAR~b2 _ N01 _ N01 _ N01 _ N01 _ N01 _ AB2 _ N01 _ NESAG2~b _ N01 _ NIMGIR _ N01",91
"P000493","1(N01) _ NI~a _ 1(N01) _ DUG~b _ 1(N01) _ DUG~c _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SU~a _ NI~b# _ X# _ 1(N01) _ GAN~a _ 1(N01) _ |DUG~bxSZE~a| _ 1(N01) _ 1(N01) _ 1(N01) _ ZATU632~a _ 1(N01) _ SZEN~b _ 1(N01) _ 1(N01) _ DUG~a _ 1(N01) _ EZEN~a _ 1(N01) _ DU _ KAK~a _ 1(N01)# _ 1(N01) _ 1(N01) _ KUSZU2~e _ 1(N01) _ 1(N01) _ 1(N01) _ KU3~a","N01 _ NI~a _ N01 _ DUG~b _ N01 _ DUG~c _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ SU~a _ NI~b _ X _ N01 _ GAN~a _ N01 _ |DUG~bxSZE~a| _ N01 _ N01 _ N01 _ ZATU632~a _ N01 _ SZEN~b _ N01 _ N01 _ DUG~a _ N01 _ EZEN~a _ N01 _ DU _ KAK~a _ N01 _ N01 _ N01 _ KUSZU2~e _ N01 _ N01 _ N01 _ KU3~a",83
"P000495","1(N01) _ 1(N01) _ KISIM~a# _ 1(N01) _ TUG2~a# _ 1(N01) _ 1(N01)","N01 _ N01 _ KISIM~a _ N01 _ TUG2~a _ N01 _ N01",13
"P000900","6(N01)# _ 4(N01) _ SZU2#","N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 _ SZU2",13
