"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"2,3",5,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"4,1,4,3",12,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"5,2",7,2,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"5,1",6,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"5,3",8,2,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"1,3,3",7,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"4,2,3,2",11,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"5,4",9,2,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"1,2,3,2",8,4,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,5,3",11,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"3,1,3,5",12,4,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
"1,4,3",8,3,"sse","tanh","rprop+",0.5,0.97,1.72831316341694e-25,0.94,1,0.97,101
"1,4,4",9,3,"sse","tanh","rprop+",0.5,0.96,4.19721842505366e-24,0.93,1,0.96,101
