"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
"4,5,2",11,3,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"4,5,4,4",17,4,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,1",5,2,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"4",4,1,"sse","tanh","rprop+",0.97,0.95,1,0.97
"4,3,4",11,3,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"2,5,5",12,3,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"2,2",4,2,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"4",4,1,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,4,3",10,3,"sse","tanh","rprop+",0.97,0.95,1,0.97
"1,2,2",5,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"2,3",5,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,1,4,3",12,4,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"5,2",7,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"1",1,1,"sse","tanh","rprop+",0.97,0.95,1,0.97
"5,1",6,2,"sse","tanh","rprop+",0.97,0.96,0.99,0.97
"5,1,4",10,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"5,3",8,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"1,3,3",7,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,4",7,2,"sse","tanh","rprop+",0.98,0.96,1,0.98
"4,2,3,2",11,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"2",2,1,"sse","tanh","rprop+",0.98,0.96,1,0.98
"2,1",3,2,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"5,4",9,2,"sse","tanh","rprop+",0.98,0.96,0.99,0.98
"2,3,2",7,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"1,2,3,2",8,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"3,5,3",11,3,"sse","tanh","rprop+",0.98,0.96,1,0.98
"3,1,3,5",12,4,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"1,4,3",8,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
"1,4,4",9,3,"sse","tanh","rprop+",0.97,0.95,0.99,0.97
