"filename","corpus","subcorpus","num.char","chunk.num","huni.chars","hrate.chars","ttr.chars","rm.chars"
"10_non-writing_animal_bhg_0008.txt","non-writing","animal","10",10,2.64643934467102,1.67174586522458,0.7,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",1,2.44643934467102,1.5460172065831,0.6,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",2,2.64643934467102,1.77264196062445,0.7,0.111111111111111
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",3,2.32192809488736,1.61414571055233,0.6,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",4,2.44643934467102,1.5460172065831,0.6,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",5,2.64643934467102,1.78376158169127,0.7,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",6,2.04643934467102,1.42642297384579,0.5,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",7,2.24643934467102,1.28546558742878,0.5,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",8,2.44643934467102,1.64339383558839,0.6,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",9,2.12192809488736,1.46471597247463,0.5,0
"10_non-writing_animal_bhg_0009.txt","non-writing","animal","10",10,2.37095059445467,1.50564946048022,0.6,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",1,2.37095059445467,1.50564946048022,0.6,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",2,2.64643934467102,1.81300970672733,0.7,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",3,2.12192809488736,1.41924922847184,0.5,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",4,2.17095059445467,1.35564946048022,0.5,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",5,2.64643934467102,1.81300970672733,0.7,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",6,2.32192809488736,1.62321222254675,0.6,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",7,2.64643934467102,1.67174586522458,0.7,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",8,2.37095059445467,1.62526533161915,0.6,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",9,2.52192809488736,1.77264196062445,0.7,0
"10_non-writing_animal_bhg_0010.txt","non-writing","animal","10",10,1.89546184423832,1.23955305573585,0.4,0.111111111111111
"10_non-writing_animal_cad_0001.txt","non-writing","animal","10",1,1.92192809488736,1.47526533161915,0.4,0
"10_non-writing_animal_cad_0001.txt","non-writing","animal","10",2,2.17095059445467,1.51880118077191,0.5,0.111111111111111
"10_non-writing_animal_cad_0001.txt","non-writing","animal","10",3,0.468995593589281,0.859174019982253,0.2,0.777777777777778
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",1,1.84643934467102,1.22571847242655,0.4,0.444444444444444
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",2,1.84643934467102,1.37047012529333,0.4,0.222222222222222
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",3,1.76096404744368,1.31471597247463,0.4,0.333333333333333
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",4,1.57095059445467,1.15886021177926,0.3,0.333333333333333
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",5,1,0.984187587487725,0.2,0.777777777777778
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",6,1.92192809488736,1.38546784743857,0.4,0.555555555555556
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",7,0,0.645261023500736,0.1,1
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",8,0.881290899230693,0.976097140368221,0.2,0.777777777777778
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",9,0.970950594454669,1.0046120867432,0.2,0.888888888888889
"10_non-writing_animal_cad_0002.txt","non-writing","animal","10",10,1.57095059445467,1.32118521642935,0.4,0.666666666666667
"10_non-writing_animal_cav_0001.txt","non-writing","animal","10",1,2.17095059445467,1.35564946048022,0.5,0
