"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random","num.tokens","num.types","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"gkl0024",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1974","ivory","Mammuthus primigenius","possible flute","",5,3,2,"fragmented","Universität Tübingen","Find No.: 58-227","!vvvv!","very certain","vvvv","vvvv",4,1,0,0.50708020839343,0.50708020839343,0.25,1
"gkl0025",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1979","ivory","Mammuthus primigenius","plaque","",38,14,5,"almost complete","LMW Stuttgart","Find No.: 58-264","vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>>! _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°","very certain","vvvvvvvvvvvvv_vvvvvvvvvvvvv_vvvvvvv_vvvvvv_>>>>\\\ _>>>_ ^^^^_°°°°°°°°°°°°°_°°°°°°°°°°_°°°°°°°°°°°°_°°°°°°°°°°°°°","vvvvvvvvvvvvv_°°°°°°°°°°°°°_vvvvvv_>>>_°°°°°°°°°°°°_>>>>\\\ _°°°°°°°°°°°°°_vvvvvvvvvvvvv_ ^^^^_vvvvvvv_°°°°°°°°°°",113,7,2.02518303785162,1.24929666458918,1.29269249556974,0.0619469026548673,0.794642857142857
"gkl0026",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1983","ivory","Mammuthus primigenius","figurine zoomorph","Ovibos moschatus",25,14,6,"fragmented","LMW Stuttgart","Find No.: 65-431","| ||||| | _ | | | || || | | | | |","very certain","| ||||| |_| | | || || | | | | |","| ||||| |_| | | || || | | | | |",31,3,1.1230875826308,1.01257509923345,1.01257509923345,0.0967741935483871,0.2
"gkl0027",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1983","ivory","Mammuthus primigenius","perforated baton","",147,27,8,"fragmented","LMW Stuttgart","Find No.: 67-1016","!vvvvvvvvvvvv!","uncertain","vvvvvvvvvvvv","vvvvvvvvvvvv",12,1,0,0.644556365533815,0.644556365533815,0.0833333333333333,1
"gkl0028",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1979","antler","Rangifer tarandus","antler object","",42,25,18,"complete","URMU Blaubeuren","Find No.: 68-378","|||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvv vv vvvvvv _ ////////////","very certain","||||_–XXXX_¤¤¤¤¤¤¤¤¤_vvvvv vv vvvvvv_////////////","¤¤¤¤¤¤¤¤¤_–XXXX_////////////_vvvvv vv vvvvvv_||||",49,8,2.64216716335054,1.73537327501281,1.84105690314665,0.163265306122449,0.729166666666667
"gkl0029",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","II","C14","30625±796","H 4147-3346","33700±825","H 4751-4404","1983","ivory","Mammuthus primigenius","possible flute","",26,10,5,"fragmented","Universität Tübingen","Find No.: 75-374","!vvvvvvvvvvv","certain","vvvvvvvvvvv","vvvvvvvvvvv",11,1,0,0.647357495241454,0.647357495241454,0.0909090909090909,1
"gkl0030",NA,"Upper Paleolithic","Aurignacian","Geissenklösterle","gkl","Blaubeuren-Weiler","Germany",48.398333,9.772222,"precise","wikipedia","III","C14","30100±550","OxA-6256","36560+410/-390","KIA 16032","1983","bone","undetermined","undetermined","",6,3,1,"fragmented","Universität Tübingen","Find No.: 75-413","!||!","certain","||","||",2,1,0,0.25,0.25,0.5,1
"hfc0001",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IIIb","AMS","29780+330/-310","KIA 18878","29990+340/-330","KIA 3505","2002","ivory","Mammuthus primigenius","personal ornament","",61,7,3,"fragmented","URMU Blaubeuren","Find No.: 24-1231.2","v vvv vv _ vvv! v","certain","v vvv vv_vvv v","v vvv vv_vvv v",14,3,1.0949143184121,1.05626831917462,1.05626831917462,0.214285714285714,0.384615384615385
"hfc0003",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Va","AMS","31750±260","KIA 35464","35710+360/-340","KIA 16034","2014","ivory","Mammuthus primigenius","possible figurine","",9,6,3,"fragmented","Universität Tübingen","Find No.: 24-1610.4","[°°°°°°°°°°] _ | _ |","uncertain","|_|","|_|",3,2,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,0
"hfc0004",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Va","AMS","31750±260","KIA 35464","35710+360/-340","KIA 16034","2007","ivory","Mammuthus primigenius","rod/baton","",89,15,7,"fragmented","Universität Tübingen","Find No.: 24-1634","X(X\)!XX(XX)! _ || _ v _ v","uncertain","XXX_||_v_v","XXX_v_||_v",10,4,1.97095059445467,1.40281737712284,1.39318512322572,0.4,0.333333333333333
"hfc0005",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vab","AMS","31750±260","KIA 35464","35710+360/-340","KIA 16034","2014","ivory","Mammuthus primigenius","figurine anthropomorph","",25,21,12,"fragmented","Universität Tübingen","Find No.: 25-1354.1","vvvvv _ >> _ ||||CC _ !¤¤¤¤¤¤¤¤¤¤¤¤ _ !||||","uncertain","vvvvv_>>_||||CC_¤¤¤¤¤¤¤¤¤¤¤¤_||||","vvvvv_>>_||||_¤¤¤¤¤¤¤¤¤¤¤¤_||||CC",33,6,2.29805501381025,1.58190385910883,1.61026475344288,0.181818181818182,0.71875
"hfc0006",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IIda","AMS","29560+240/-230","KIA 8964","30010±220","KIA 8965","2010","bone","","undetermined","Capra ibex",128,27,10,"almost complete","Universität Tübingen","Find No.: 26-459","||| X V\\ / \\/ \\ ≠ _ °°°°°°°","certain","||| X V\\ / \\/ \\ ≠_°°°°°°°","°°°°°°°_||| X V\\ / \\/ \\ ≠",28,9,2.75642913758544,1.92696134911343,2.04377306051557,0.321428571428571,0.407407407407407
"hfc0007",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vab","AMS","31750±260","KIA-35464","40000±500","OxA 19781","2014","bone","undetermined","tube/flute","",23,6,3,"fragmented","Universität Tübingen","Find No.: 27-2318","!vvvvv!","very certain","vvvvv","vvvvv",5,1,0,0.571190309536813,0.571190309536813,0.2,1
"hfc0008",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IV","AMS","28750±750","OxA-4980","33090+260/-250","KIA 16036","2009","bone","undetermined","spatula/lissoir","",49,7,6,"fragmented","Universität Tübingen","Find No.: 27-546.1","!vvvvvvvvvvvv!","very certain","vvvvvvvvvvvv","vvvvvvvvvvvv",12,1,0,0.644556365533815,0.644556365533815,0.0833333333333333,1
"hfc0009",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vaa","AMS","31750±260","KIA 35464","35710+360/-340","KIA 16034 Va","2014","bone","Capra ibex","undetermined","",87,21,7,"almost complete","Universität Tübingen","Find No.: 28-1796","l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll _ | | | | | | | | | | l _ (–ll) ll ll ll ll","certain","l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll_| | | | | | | | | | l_ ll ll ll ll","l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll_| | | | | | | | | | l_ ll ll ll ll",67,6,2.14941427018699,1.47310513300266,1.47310513300266,0.0895522388059701,0.227272727272727
"hfc0010",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vab","AMS","31750±260","KIA 35464","40000±500","OxA-19781","2014","ivory","Mammuthus primigenius","personal ornament","",27,6,5,"complete","Universität Tübingen","Find No.: 28-2061.1","OO","very certain","OO","OO",2,1,0,0.25,0.25,0.5,1
"hfc0011",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vab","AMS","31750±260","KIA 35464","40000±500","OxA-19781","2014","ivory","Mammuthus primigenius","personal ornament","",50,16,14,"complete","Universität Tübingen","Find No.: 28-2091","|| |||","certain","|| |||","|| |||",6,2,0.650022421648354,0.803014408229587,0.803014408229587,0.333333333333333,0.6
"hfc0012",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vab","AMS","31750±260","KIA 35464","40000±500","OxA-19781","2014","ivory","Mammuthus primigenius","personal ornament","",23,5,4,"complete","Universität Tübingen","Find No.: 28-2279","OO","very certain","OO","OO",2,1,0,0.25,0.25,0.5,1
"hfc0013",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IV","AMS","28750±750","OxA-4980","33090+260/-250","KIA 16036","2006","ivory","Mammuthus primigenius","undetermined","",102,41,14,"fragmented","URMU Blaubeuren","Find No.: 29-1594","!≠ ≠ ≠!","very certain","≠ ≠ ≠","≠ ≠ ≠",5,2,0.970950594454669,0.671190309536813,0.671190309536813,0.4,0
"hfc0015",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vb","AMS","31290±180","OxA-19860","40000±500","OxA-19781","2008","ivory","Mammuthus primigenius","figurine anthropomorph","",60,34,31,"almost complete","URMU Blaubeuren","Find No.: 30-1197","|||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\[°°°° °°] _ [|||| _ ||||||] _ vvvvvvvv! _ C _ |||| _ /// _ [CCCC] _ ||| _ ||| _ v","very certain","||||||||||_¤¤¤¤¤¤¤¤¤¤¤¤¤_Y/\\\\VV\\_vvvvvvvv_C_||||_///_|||_|||_v","C_Y/\\\\VV\\_¤¤¤¤¤¤¤¤¤¤¤¤¤_v_///_||||||||||_|||_|||_||||_vvvvvvvv",65,9,2.68217237819969,1.94871211415335,1.69726264689583,0.138461538461538,0.65625
"hfc0018",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vaa","AMS","31750±260","KIA 35464","35710+360/-340","KIA 16034","2016","ivory","Mammuthus primigenius","figurine anthropomorph","",33,12,7,"fragmented","Universität Tübingen","Find No.: 31-2110","|||||||||||| _ ||||| _ !|||||||","certain","||||||||||||_|||||_|||||||","||||||||||||_|||||||_|||||",26,2,0.391243563629256,0.875197378594629,0.845625265195603,0.0769230769230769,0.84
"hfc0020",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IIIa","AMS","29710+210/-200","KIA 32056","31140+250/-240","KIA 16039","2015","ivory","Mammuthus primigenius","undetermined","",12,7,2,"fragmented","Universität Tübingen","Find No.: 31-837.1","!XX!","uncertain","XX","XX",2,1,0,0.25,0.25,0.5,1
"hfc0021",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","Vaa","AMS","31750±260","KIA 35464","35710+360/-340","KIA 16034","2016","ivory","Mammuthus primigenius","personal ornament","",27,7,5,"almost complete","Universität Tübingen","Find No.: 32-1825","OO","very certain","OO","OO",2,1,0,0.25,0.25,0.5,1
"hfc0024",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IV","AMS","28750±750","OxA-4980","33090+260/-250","KIA 16036","2002","ivory","Mammuthus primigenius","figurine anthropomorph","",26,7,5,"fragmented","URMU Blaubeuren","Find No.: 57-3361.1","v _ v","certain","v_v","v_v",3,2,0.918295834054489,0.597493750120193,0.597493750120193,0.666666666666667,0
"hfc0025",NA,"Upper Paleolithic","Aurignacian","Hohle Fels","hfc","Schelklingen","Germany",48.379117,9.754103,"precise","wikipedia","IV","AMS","28750±750","OxA-4980","33090+260/-250","KIA 16036","2001","bone","undetermined","awl","",30,5,2,"fragmented","Universität Tübingen","Find No.: 58-2062.1","!v v v vv! _ v v v _ (//|) _ !v v vv vv vv vv _ ≠! _ vvv _ !vvvvvvv","certain","v v v vv_v v v_v v vv vv vv vv_≠_vvv_vvvvvvv","v v vv vv vv vv_≠_vvvvvvv_v v v_vvv_v v v vv",44,4,1.38136663588904,1.22754019197416,1.19619488794065,0.0909090909090909,0.302325581395349
