"subcorpus","sequence","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"Aurignacien","||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv",54,1.14052400782537,0.950559275192341,0.0555555555555556,0.924528301886792
"Aurignacien","vv",2,0,0.25,0.5,1
"Aurignacien","||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv",69,0.934231351307668,0.833921325095101,0.0434782608695652,0.941176470588235
"Aurignacien","| | || | >",10,1.36096404744368,1.04816733739512,0.3,0.111111111111111
"Aurignacien","||||||| _ ≠ _ vvv _ v",15,1.74646579850407,1.50198132448951,0.266666666666667,0.571428571428571
"Aurignacien","vvvv _ ||||",9,1.39214722366453,1.21376126565913,0.333333333333333,0.75
"Aurignacien","XXXXX",5,0,0.571190309536813,0.2,1
"Aurignacien","°°°°° _ vvvvvvv",13,1.29573780053801,1.19580445579249,0.230769230769231,0.833333333333333
"Aurignacien","⊞ _ ⊞ _ || _  ⊞ _ | | | _ |||",19,1.87322143561391,1.34998509286357,0.210526315789474,0.166666666666667
"Aurignacien","⊞ _ vvvvvv _ vvv",12,1.04085208297276,0.987588023233312,0.25,0.636363636363636
"Aurignacien","vv",2,0,0.25,0.5,1
"Aurignacien","v v vv v v",10,0.970950594454669,0.781585533014023,0.2,0.111111111111111
