"tablet.id","signs.orig.vec","signs.expand.vec","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000590","1(N01) _ |(GISZx(DIN.DIN))~c| _ 1(N01)# _ TUM~a _ 1(N01)# _ GISZ _ KUR~c _ 1(N01) _ NUN~b _ A _ 1(N01) _ GESZTIN~a _ 1(N01) _ 1(N01)# _ TAK4~a _ |GIR~b.GIR~b| _ 1(N01) _ TUM~a# _ ANSZE~b# _ 1(N01) _ 1(N01) _ AL# _ 1(N01) _ AL# _ AL# _ AK~a","N01 _ |(GISZx(DIN.DIN))~c| _ N01 _ TUM~a _ N01 _ GISZ _ KUR~c _ N01 _ NUN~b _ A _ N01 _ GESZTIN~a _ N01 _ N01 _ TAK4~a _ |GIR~b.GIR~b| _ N01 _ TUM~a _ ANSZE~b _ N01 _ N01 _ AL _ N01 _ AL _ AL _ AK~a",26,2.97703066786518,2.38182291337073,0.5,"0.12"
"P000591","NI~b# _ IR~a _ IR~a# _ IR~a# _ NI~b# _ 1(N01) _ |DUG~bxSZE~a|# _ 1(N01) _ |DUG~bxBALA~a|# _ 1(N01) _ |DUG~bxKASKAL|# _ 1(N01) _ KASZ~b# _ 1(N01) _ |DUG~bxGESZTU~a|# _ 1(N01) _ |DUG~bxX|# _ 1(N01) _ |DUG~bx(SA~a.GI)| _ 1(N01) _ |DUG~bxNAGA~a| _ 1(N01) _ |DUG~bxX|# _ 1(N01) _ 1(N01) _ |DUG~bxSA~a|# _ 1(N01) _ |DUG~bxSIG7|# _ 1(N01) _ |DUG~bxSIG2~a2|# _ 1(N01) _ |DUG~bxTI| _ 1(N01) _ |DUG~bxMASZ| _ 1(N01) _ |DUG~bxX|# _ 1(N01) _ |DUG~bxX|#","NI~b _ IR~a _ IR~a _ IR~a _ NI~b _ N01 _ |DUG~bxSZE~a| _ N01 _ |DUG~bxBALA~a| _ N01 _ |DUG~bxKASKAL| _ N01 _ KASZ~b _ N01 _ |DUG~bxGESZTU~a| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bx(SA~a.GI)| _ N01 _ |DUG~bxNAGA~a| _ N01 _ |DUG~bxX| _ N01 _ N01 _ |DUG~bxSA~a| _ N01 _ |DUG~bxSIG7| _ N01 _ |DUG~bxSIG2~a2| _ N01 _ |DUG~bxTI| _ N01 _ |DUG~bxMASZ| _ N01 _ |DUG~bxX| _ N01 _ |DUG~bxX|",38,3.03103920282729,2.58748112670263,0.421052631578947,"0.0810810810810811"
"P000593","ERIN# _ 1(N01) _ GA2~a1 _ 1(N01) _ TAK4~a# _ 1(N01)#","ERIN _ N01 _ GA2~a1 _ N01 _ TAK4~a _ N01",6,1.79248125036058,1.19989530766152,0.666666666666667,"0"
"P000594","1(N01) _ 1(N01) _ GAL~a# _ 1(N01)","N01 _ N01 _ GAL~a _ N01",4,0.811278124459133,0.771240625180289,0.5,"0.333333333333333"
"P000595","|DUG~bxTI|# _ 1(N01) _ |DUG~bxMASZ| _ 1(N01) _ |DUG~bxX|# _ |DUG~bxX|# _ 1(N01) _ |DUG~bxGI6|# _ 1(N01) _ |DUG~bxU2~a|# _ |DUG~bxKUR@g~a|# _ 1(N01) _ |DUG~bxSZAH2~a|# _ 1(N01) _ |DUG~bxANSZE~b| _ 1(N01) _ |DUG~bxHI| _ 1(N01) _ |DUG~bxDIN| _ 1(N01) _ SZU2# _ |DUG~bxDIN| _ 1(N01) _ |DUG~bxDIN| _ 1(N01) _ GAN~b# _ 1(N01) _ U2~a# _ 1(N01) _ U2~a _ PU2 _ 1(N01) _ U2~a _ PU2 _ 1(N01) _ U2~a# _ PU2# _ 1(N01) _ U2~a# _ PU2# _ 1(N01) _ GA'AR~a1# _ 1(N01) _ GA'AR~a1#","|DUG~bxTI| _ N01 _ |DUG~bxMASZ| _ N01 _ |DUG~bxX| _ |DUG~bxX| _ N01 _ |DUG~bxGI6| _ N01 _ |DUG~bxU2~a| _ |DUG~bxKUR@g~a| _ N01 _ |DUG~bxSZAH2~a| _ N01 _ |DUG~bxANSZE~b| _ N01 _ |DUG~bxHI| _ N01 _ |DUG~bxDIN| _ N01 _ SZU2 _ |DUG~bxDIN| _ N01 _ |DUG~bxDIN| _ N01 _ GAN~b _ N01 _ U2~a _ N01 _ U2~a _ PU2 _ N01 _ U2~a _ PU2 _ N01 _ U2~a _ PU2 _ N01 _ U2~a _ PU2 _ N01 _ GA'AR~a1 _ N01 _ GA'AR~a1",44,3.1089048458518,2.28416628714056,0.363636363636364,"0.0232558139534884"
"P000597","AB~a _ ME~a _ 1(N01) _ GAL~a _ |1(N58).BAD~a| _ 1(N01) _ EN~a# _ IB~a _ 1(N01) _ GAL~a _ SZITA~a1 _ 1(N01) _ ABGAL# _ 1(N01) _ GAL~a _ NESAG2~a# _ 1(N01) _ GAL~a _ TUR3~a _ 1(N01) _ UMUN2 _ GAL~a _ 1(N01) _ UMUN2# _ ERIN# _ 1(N01) _ UMUN2 _ SANGA~a _ GAL~a# _ 1(N01) _ GAL~a _ SANGA~a _ 1(N01) _ DUB~a# _ SANGA~a# _ 1(N01)# _ NINKUM# _ 1(N01) _ ENKUM# _ 1(N01)","AB~a _ ME~a _ N01 _ GAL~a _ |1(N58).BAD~a| _ N01 _ EN~a _ IB~a _ N01 _ GAL~a _ SZITA~a1 _ N01 _ ABGAL _ N01 _ GAL~a _ NESAG2~a _ N01 _ GAL~a _ TUR3~a _ N01 _ UMUN2 _ GAL~a _ N01 _ UMUN2 _ ERIN _ N01 _ UMUN2 _ SANGA~a _ GAL~a _ N01 _ GAL~a _ SANGA~a _ N01 _ DUB~a _ SANGA~a _ N01 _ NINKUM _ N01 _ ENKUM _ N01",40,3.26032238569895,2.56224122671095,0.425,"0"
"P000598","|DUG~bxX|# _ KASZ~b# _ |DUG~bxGESZTU~a|# _ |DUG~bxX|# _ |DUG~bxX|# _ 1(N01)# _ |DUG~bxZATU764|# _ 1(N01) _ 1(N01) _ |DUG~bxMASZ| _ 1(N01) _ |DUG~bxX|# _ 1(N01)# _ 1(N01) _ 1(N01)","|DUG~bxX| _ KASZ~b _ |DUG~bxGESZTU~a| _ |DUG~bxX| _ |DUG~bxX| _ N01 _ |DUG~bxZATU764| _ N01 _ N01 _ |DUG~bxMASZ| _ N01 _ |DUG~bxX| _ N01 _ N01 _ N01",15,2.0634582986483,1.59505875915433,0.4,"0.285714285714286"
"P000599","SUKKAL# _ SUKKAL# _ GAL~a# _ TUR3~a# _ 1(N01) _ GAL~a _ UMUN2 _ 1(N01) _ ERIN _ UMUN2 _ 1(N01)# _ UB# _ 1(N01)#","SUKKAL _ SUKKAL _ GAL~a _ TUR3~a _ N01 _ GAL~a _ UMUN2 _ N01 _ ERIN _ UMUN2 _ N01 _ UB _ N01",13,2.62351664121802,1.80375840796476,0.538461538461538,"0.0833333333333333"
"P000600","KISIM~b# _ NI~b _ NI~b# _ 1(N01) _ 2(N57)# _ SU~a _ NI~b _ 1(N01) _ E2~a# _ SU~a _ NI~b _ 1(N01) _ GAN~a# _ 1(N01) _ |DUG~bxKASKAL|# _ 1(N01) _ KASZ~b _ 1(N01) _ |DUG~bxGESZTU~a|#","KISIM~b _ NI~b _ NI~b _ N01 _ N57 N57 _ SU~a _ NI~b _ N01 _ E2~a _ SU~a _ NI~b _ N01 _ GAN~a _ N01 _ |DUG~bxKASKAL| _ N01 _ KASZ~b _ N01 _ |DUG~bxGESZTU~a|",20,2.94643934467102,2.12257749353917,0.5,"0.105263157894737"
"P000601","NAMESZDA# _ NAM2# _ KAB _ 1(N01) _ NAM2 _ DI _ NAM2# _ NAM2# _ 1(N01) _ KINGAL# _ 1(N01) _ GAL~a _ 1(N01) _ GAL~a# _ HI _ U4","NAMESZDA _ NAM2 _ KAB _ N01 _ NAM2 _ DI _ NAM2 _ NAM2 _ N01 _ KINGAL _ N01 _ GAL~a _ N01 _ GAL~a _ HI _ U4",16,2.875,2.03126146114047,0.5625,"0.0666666666666667"
