"tablet.id","signs.orig.vec","signs.expand.vec","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
"P000329","URU~a1 _ ERIN _ GAL~a _ SZUBUR _ APIN~a _ 1(N01) _ 1(N01)","URU~a1 _ ERIN _ GAL~a _ SZUBUR _ APIN~a _ N01 _ N01",13,2.35353394857748,1.75709652268161,0.538461538461538,"0"
"P000330","1(N01) _ GAL~a _ ZAG~a _ ZAG~a _ 1(N01) _ SANGA~a _ 1(N01) _ GAL~a _ 1(N01) _ USZUMGAL _ 1(N01) _ GAL~a _ 1(N01) _ KAB _ GI _ AB~b _ 1(N01) _ 1(N01)","N01 _ GAL~a _ ZAG~a _ ZAG~a _ N01 _ SANGA~a _ N01 _ GAL~a _ N01 _ USZUMGAL _ N01 _ GAL~a _ N01 _ KAB _ GI _ AB~b _ N01 _ N01",35,2.26523285113299,1.78409720177003,0.257142857142857,"0"
"P000331","KU3~a _ AK~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","KU3~a _ AK~a _ N01 _ N01 _ N01 _ N01",11,1.67673703005213,1.08489419647059,0.363636363636364,"0"
"P000332","ISZ~b _ 1(N01) _ 1(N01) _ MUSZ3~a _ 1(N01) _ BU~a","ISZ~b _ N01 _ N01 _ MUSZ3~a _ N01 _ BU~a",11,1.97174725712818,1.36840715496941,0.454545454545455,"0"
"P000333","GAL~a _ GAL~a _ GUG2","GAL~a _ GAL~a _ GUG2",5,1.52192809488736,0.970049785692216,0.6,"0"
"P000334","GAL~a _ UMUN2","GAL~a _ UMUN2",3,1.58496250072116,0.861654166907052,1,"0"
"P000335","TE _ GAL~a _ GADA~a _ 1(N01)","TE _ GAL~a _ GADA~a _ N01",7,2.12808527889139,1.42953239543239,0.714285714285714,"0"
"P000336","NAM2 _ ERIN _ GAL~a _ LA2","NAM2 _ ERIN _ GAL~a _ LA2",7,2.12808527889139,1.42953239543239,0.714285714285714,"0"
"P000337","1(N01) _ NUN~a _ 1(N01) _ GAL~a","N01 _ NUN~a _ N01 _ GAL~a",7,1.84237099317711,1.20839638639549,0.571428571428571,"0"
"P000338","|ZATU737xDI| _ 1(N01)","|ZATU737xDI| _ N01",3,1.58496250072116,0.861654166907052,1,"0"
"P000339","1(N01) _ 1(N01)","N01 _ N01",3,0.918295834054489,0.597493750120193,0.666666666666667,"0"
"P000340","1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01",5,0.970950594454669,0.671190309536813,0.4,"0"
"P000341","1(N01) _ 1(N01)","N01 _ N01",3,0.918295834054489,0.597493750120193,0.666666666666667,"0"
"P000342","1(N01) _ SANGA~a _ 1(N01) _ SANGA~a _ 1(N01)","N01 _ SANGA~a _ N01 _ SANGA~a _ N01",9,1.53049305675748,0.872571316786491,0.333333333333333,"0"
"P000343","SANGA~a _ 1(N01) _ 1(N01) _ 1(N01)","SANGA~a _ N01 _ N01 _ N01",7,1.44881563572518,0.898705260993257,0.428571428571429,"0"
"P000344","GAL~a _ 1(N01)","GAL~a _ N01",3,1.58496250072116,0.861654166907052,1,"0"
"P000345","1(N01) _ 1(N01) _ 1(N01) _ DI","N01 _ N01 _ N01 _ DI",7,1.44881563572518,1.00982852918396,0.428571428571429,"0"
"P000346","1(N01) _ 1(N01) _ SZU _ UKKIN~a _ 1(N01) _ GAL~a _ 1(N01) _ GAL~a _ 1(N01)","N01 _ N01 _ SZU _ UKKIN~a _ N01 _ GAL~a _ N01 _ GAL~a _ N01",17,1.87513104863641,1.32055654500896,0.294117647058824,"0"
"P000347","1(N01) _ NUN~a _ ME~a _ 1(N01) _ NUN~a _ 1(N01)","N01 _ NUN~a _ ME~a _ N01 _ NUN~a _ N01",11,1.78992907531,1.1276826974372,0.363636363636364,"0"
"P000349","ME~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01)","ME~a _ N01 _ N01 _ N01 _ N01",9,1.39214722366453,0.869933214488526,0.333333333333333,"0"
"P000350","SANGA~a _ SANGA~a","SANGA~a _ SANGA~a",3,0.918295834054489,0.597493750120193,0.666666666666667,"0"
"P000351","1(N01) _ 1(N01)","N01 _ N01",3,0.918295834054489,0.597493750120193,0.666666666666667,"0"
"P000352","1(N01) _ 1(N01)","N01 _ N01",3,0.918295834054489,0.597493750120193,0.666666666666667,"0"
"P000353","1(N01) _ 1(N01) _ GAL~a _ 1(N01)","N01 _ N01 _ GAL~a _ N01",7,1.44881563572518,1.01651150805671,0.428571428571429,"0"
"P000354","1(N01) _ 1(N01) _ GAL~a","N01 _ N01 _ GAL~a",5,1.52192809488736,0.970049785692216,0.6,"0"
"P000355","1(N01) _ SZA _ 1(N01)","N01 _ SZA _ N01",5,1.52192809488736,0.949185309632967,0.6,"0"
"P000356","1(N01) _ 1(N01) _ BU~a _ NUN~a","N01 _ N01 _ BU~a _ NUN~a",7,1.84237099317711,1.27858358583989,0.571428571428571,"0"
"P000357","1(N01) _ 1(N01) _ ERIN _ 1(N01) _ GISZGAL","N01 _ N01 _ ERIN _ N01 _ GISZGAL",9,1.7527152789797,1.23357772545588,0.444444444444444,"0"
