"object_id","ensemble_id","archaeological_unit","site_name","location","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean","coding_random","num.char","huni.chars","hrate.chars","hrate.chars.random","ttr.chars","rm.chars"
"hfc0007","","Aurignacien","Hohle Fels",NA,"Vab","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","bone","tube/flute",23,6,3,"fragmented","!vvvvv!","","vvvvv","vvvvv",5,0,0.571190309536813,0.571190309536813,0.2,"1"
"hfc0008","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2009","bone","spatula/lissoir",49,7,6,"fragmented","!vvvvvvvvvvvv!","","vvvvvvvvvvvv","vvvvvvvvvvvv",12,0,0.644556365533815,0.644556365533815,0.0833333333333333,"1"
"hfc0009","","Aurignacien","Hohle Fels",NA,"Vaa","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","bone","undetermined",87,21,7,"almost complete","l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll _ | | | | | | | | | | l _ (–ll) ll ll ll ll","","l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll _ | | | | | | | | | | l _  ll ll ll ll","| | | | | | | | | | l _ l llXl ll| |  XX| |  ≠≠≠ ≠≠ llll _  ll ll ll ll",67,2.14941427018699,1.47310513300266,1.63108105114377,0.0895522388059701,"0.227272727272727"
"hfc0010","","Aurignacien","Hohle Fels",NA,"Vab","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","ivory","personal ornament",27,6,5,"complete","OO","","OO","OO",2,0,0.25,0.25,0.5,"1"
"hfc0011","","Aurignacien","Hohle Fels",NA,"Vab","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","ivory","personal ornament",50,16,14,"complete","|| |||","","|| |||","|| |||",6,0.650022421648354,0.803014408229587,0.803014408229587,0.333333333333333,"0.6"
"hfc0012","","Aurignacien","Hohle Fels",NA,"Vab","AMS","34570±260 - 31750±260",NA,NA,NA,"2014","ivory","personal ornament",23,5,4,"complete","OO","","OO","OO",2,0,0.25,0.25,0.5,"1"
"hfc0013","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2006","ivory","undetermined",102,41,14,"fragmented","!≠ ≠ ≠?!","","≠ ≠ ≠","≠ ≠ ≠",5,0.970950594454669,0.671190309536813,0.671190309536813,0.4,"0"
"hfc0014","","Aurignacien","Hohle Fels",NA,"IV","AMS","33090+260/-250 - 28750±750",NA,NA,NA,"2007","ivory","undetermined",31,14,3,"fragmented","!≠!","","≠","≠",1,0,0,0,1,"NA"
"hfc0015","","Aurignacien","Hohle Fels",NA,"Vb","AMS","40000±500 - 31290±180",NA,NA,NA,"2008","ivory","figurine anthropomorph",60,34,31,"almost complete","|||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\[°°°° °°] _ [|||| _ ||||||] _ vvvvvvvv! _ C _ |||| _ /// _ [CCCC] _ ||| _ ||| _ v","","|||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\ _ vvvvvvvv _ C _ |||| _ /// _ ||| _ ||| _ v","|||||||||| _ ||| _ vvvvvvvv _ |||| _ /// _ C _ v _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ||| _ Y/\\\\VV\\",65,2.68217237819969,1.94871211415335,1.96578831157185,0.138461538461538,"0.65625"
"hfc0017","","Aurignacien","Hohle Fels",NA,"Va","AMS","34570±260 - 31750±260",NA,NA,NA,"2015","antler","spatula/lissoir",98,27,13,"fragmented","¥!","","¥","¥",1,0,0,0,1,"NA"
"hfc0018","","Aurignacien","Hohle Fels",NA,"Vaa","AMS","34570±260 - 31750±260",NA,NA,NA,"2016","ivory","figurine anthropomoph",33,12,7,"fragmented","|||||||||||| _ ||||| _ !|||||||","","|||||||||||| _ ||||| _ |||||||","|||||||||||| _ ||||||| _ |||||",26,0.391243563629256,0.875197378594629,0.845625265195603,0.0769230769230769,"0.84"
