"id","period","coding_sample","num.char","huni.chars","hrate.chars","ttr.chars","rm.chars"
1,"aurignacian","|||||||_vvvv_vvv _vvv_vvvvvvvv_v_///_XX_vvvvvv",46,1.90393637560191,1.54356344581293,0.130434782608696,0.622222222222222
2,"aurignacian","vvvvvvv__vv_V_v_vv_XXX_vvvv_vvvvvvv_// /// //_vvvv",50,1.88370388049765,1.58395609655598,0.12,0.551020408163265
3,"aurignacian","v v v vv vv_v v vv_vvvv_vvv _vvv_X|_\\\\ \\\\\_\ \\\ /_vvvvvvvvvvvv_¥_vv",72,2.08563078162766,1.69077030650232,0.111111111111111,0.436619718309859
4,"aurignacian","¥_X ||_|_| || |_¥ v_vvvvV_>> _| |||| | | ||||_v vvv_|XX |X X_vvvvv_||| X V\\ / \\/ \\ ¥_°°°°°°°",95,3.02407649361564,2.07120721239695,0.115789473684211,0.319148936170213
5,"aurignacian","XX_vvvvvvv_v v v vv_v v v vv_¥_¥_v_/ / / / //_vvvvvv_¥_¥",56,2.20043640564007,1.4618585759819,0.107142857142857,0.272727272727273
6,"aurignacian","vvvvvvvv_XX_||||_¥_vv_vv_XXXXXXXX_|_¥",37,2.13246765125154,1.52919110219555,0.135135135135135,0.555555555555556
7,"aurignacian","Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvv*vvvvvvvv_|||||_¤¤¤¤¤¤¤¤¤__vv_XXXX_vv_vvvvv_XX_vvvvvvv",172,1.12838511862464,1.05607248641494,0.0406976744186047,0.865497076023392
8,"aurignacian","v v v vv_v v v_v v vv vv vv vv_¥_vvv_vvvvvvv_v vv vv_O_vvv_v_||_Vvvv_||||",73,1.88261909563167,1.5330799481903,0.0958904109589041,0.319444444444444
9,"aurignacian","| | || | >_Vvvv_||||_vv_||| X V\\ / \\/ \\ ¥_°°°°°°°_¥_vvv_vv_vv_vvv_| | |||| |||_vv",84,2.89217385155462,1.86060639368373,0.130952380952381,0.36144578313253
10,"aurignacian","XX_|_vvvvvvv_// /// //_OO_>>>>_>>>>_v v v vv_v v v vv_vvvvvvvv",62,2.4658541456812,1.58456926405426,0.129032258064516,0.442622950819672
11,"aurignacian","v_XX_X/XXX/_vvvvvvvv_OO_|||_v_v_v_v_v_||||||||||_¤¤¤¤¤¤¤¤¤¤¤¤¤_Y/\\\\VV\\_vvvvvvvv_C_||||_///_|||_|||_v",103,2.86943787451152,1.90700535156151,0.106796116504854,0.53921568627451
12,"aurignacian","vvvv_¥_vvvvv_||||||_||||__>>__vvv_vvv",37,1.90264350357538,1.50423353699988,0.135135135135135,0.611111111111111
13,"aurignacian","vvvvvvvvvvvv_vvvvv_||||||_vv_vvvv vvvv_|| |||_|| |",50,1.60486431030051,1.39767244348834,0.08,0.63265306122449
14,"aurignacian","| ||||_|_vv v_||||_ | ||_vv_¥_vvvvvv_XXX_vvvvv_vvvvv_>>_||||CC_¤¤¤¤¤¤¤¤¤¤¤¤_|||| ",81,2.6217712541097,1.8326717170392,0.111111111111111,0.5375
15,"aurignacian","XX_vvvvvvvv_vvvv_v v vv v_⊞_vvvvvvvv_l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll_| | | | | | | | | | l_ ll ll ll ll_vvvvvvvv_vvvvvvvvv_| ||||_|_vv v_||||_ | ||",148,2.53628647269874,1.67906277055466,0.0540540540540541,0.387755102040816
16,"aurignacian","&_X_||||||||||_¤¤¤¤¤¤¤¤¤¤¤¤¤_Y/\\\\VV\\_vvvvvvvv_C_||||_///_|||_|||_v_O_°°°°°_vvvvvvv_vvvvvvvvvv_v v vv v v_X/XXX/",114,3.07613582563523,2.0308579193542,0.12280701754386,0.566371681415929
17,"aurignacian","|||||||_¥_vvv_v_¥_XXXXXXXX_|_XXX_vvvv_vvvv_vvv _vvv__°°°°°°°°°_°°°°°°_°_°_¤¤¤¤¤¤_////",85,2.79565339304928,1.8646177165038,0.105882352941176,0.583333333333333
18,"aurignacian","OO_⊞_vvvvvv_vvv_vvvvvvvv_vvvvvvv__|||||_vvvvv_vvvv_vvvvv_¥",58,1.52893558494993,1.20837181277405,0.103448275862069,0.649122807017544
19,"aurignacian","¥_W_vvvvv_||||_vvv_vvvvvvvv_vvvvvvvvv_vvvvvv",44,1.3405322987192,1.01129424871722,0.113636363636364,0.674418604651163
20,"aurignacian","|_XXXXX_XXXX_|||||||||||||||||||_vvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvv_Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_⊞_vvvvvvvvvvvvvvvvvv_ ⊞_vvvvvvv_// /// //_W W",227,1.45882288186072,0.973573972735118,0.039647577092511,0.849557522123894
21,"aurignacian","////_OO_>>>>>>  >>>>>_vvv_vv_vv_vvv_||||_|||||_||||||||_|||||_|_||_XXXXX",72,2.57152513604616,1.58740308696805,0.111111111111111,0.605633802816901
22,"aurignacian","vvvvv_>>_||||CC_¤¤¤¤¤¤¤¤¤¤¤¤_|||| _||||||_//_|||_vv_vvv_vvvvvvvv_|||_OO",71,2.55064413441994,1.73185743880422,0.126760563380282,0.628571428571429
23,"aurignacian","°°°°°_vvvvvvv_¥_OO_>>>>_>>>>_|||||_|_||_¥_XXXXX",47,2.8292687165255,1.9387188666175,0.170212765957447,0.565217391304348
24,"aurignacian","W_vv_⊞_vvvvvvvvvvvvvvvvvv_ ⊞_\\\\ \\\\\_\ \\\ /_vvvv_Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv_W",168,1.15008466750156,0.83735467973231,0.0476190476190476,0.832335329341317
