"object_id","site_name","date_bp_max_min","material","object_type","coding","coding_clean"
"vhc0023","Vogelherd","35810±710 - 25900±260","bone","undetermined","vv v! _v!","vv v _v"
"vhc0024","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!XXXXX!","XXXXX"
"vhc0025","Vogelherd","35810±710 - 25900±260","ivory","undetermined","/XX!","/XX"
"vhc0026","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","|||||! _ vvvvv!","||||| _ vvvvv"
"vhc0027","Vogelherd","35810±710 - 25900±260","ivory","personal ornament","!//","//"
"vhc0028","Vogelherd","35810±710 - 25900±260","ivory","undetermined","(!|////|/|//!)",""
"vhc0029","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","!| |||| | | ||||! _ v vvv!","| |||| | | |||| _ v vvv"
"vhc0030","Vogelherd","35810±710 - 25900±260","bone","tube/flute","v v v vv! _ v v v vv!","v v v vv _ v v v vv"
"vhc0031","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvvvvvv!","vvvvvvv"
"vhc0032","Vogelherd","35810±710 - 25900±260","bone","undetermined","!||||!","||||"
"vhc0033","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!vv!","vv"
"vhc0034","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!¥!","¥"
"vhc0035","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","[!CCCC!]",""
"vhc0036","Vogelherd","35810±710 - 25900±260","bone","undetermined","!vvvvvv!","vvvvvv"
"vhc0037","Vogelherd","35810±710 - 25900±260","bone","tube/flute","vv!","vv"
"vhc0038","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!vv!","vv"
"vhc0039","Vogelherd","35810±710 - 25900±260","bone","undetermined","!YYY!","YYY"
"vhc0040","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!XX!","XX"
"vhc0041","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","(!°°°°°!)",""
"vhc0042","Vogelherd","35810±710 - 25900±260","bone","undetermined","!XX!","XX"
"vhc0043","Vogelherd","35810±710 - 25900±260","bone","possible figurine","vvvv/Xv! _ XXXXXXvvv! _","vvvv/Xv _ XXXXXXvvv _"
"vhc0044","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","[vv _ v _ v _ vvv _ vv _ vv _ vvv] _ ||l"," _ ||l"
"vhc0045","Vogelherd","35810±710 - 25900±260","ivory","flute","!vvvvvvv! _ !v!","vvvvvvv _ v"
"vhc0046","Vogelherd","35810±710 - 25900±260","antler","awl","| | |||| |||! _ vv!","| | |||| ||| _ vv"
"vhc0047","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vvvv!","vvvv"
"vhc0048","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!$!","$"
"vhc0049","Vogelherd","35810±710 - 25900±260","bone","spatula/lissoir","X X X X X X X _ vvvvvvvvvvvv!vvvvvvvvvvvvvv _ vvv vvv vv! vvv vvv","X X X X X X X _ vvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv vv vvv vvv"
"vhc0050","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vvvvvv/v!","vvvvvv/v"
"vhc0051","Vogelherd","35810±710 - 25900±260","ivory","undetermined","X/X||! _ ||||!","X/X|| _ ||||"
"vhc0052","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","!//////////// _ /// _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°] _ ///// _ // //// _ ¥ _ /////////// _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°]","//////////// _ /// _  _ ///// _ // //// _ ¥ _ /////////// _ "
"vhc0053","Vogelherd","35810±710 - 25900±260","bone","undetermined","!X/XXX/!","X/XXX/"
"vhc0054","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!vvvvvvvvv!","vvvvvvvvv"
"vhc0055","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vv! _ !vvv!","vv _ vvv"
"vhc0056","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","!|!","|"
"vhc0057","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","!vvv! _ !vvv!","vvv _ vvv"
"vhc0058","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!¥!","¥"
"vhc0059","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!^^^^^^ |!","^^^^^^ |"
"vhc0060","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","////////// _ l|ll!","////////// _ l|ll"
"vhc0061","Vogelherd","35810±710 - 25900±260","ivory","possible flute","!vvvvvv!","vvvvvv"
"vhc0062","Vogelherd","35810±710 - 25900±260","ivory","personal ornament","!vvv!","vvv"
"vhc0063","Vogelherd","35810±710 - 25900±260","bone","undetermined","(!/XXXXX/!)",""
"vhc0064","Vogelherd","35810±710 - 25900±260","bone","flute","vvvv _ !vvv!  _ !vvv!","vvvv _ vvv  _ vvv"
"vhc0065","Vogelherd","35810±710 - 25900±260","ivory","personal ornament","!W!","W"
"vhc0066","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vv! _ vv!","vv _ vv"
"vhc0067","Vogelherd","35810±710 - 25900±260","ivory","awl","||||| (/||)||| _ ||","||||| ||| _ ||"
"vhc0068","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!XX","XX"
"vhc0069","Vogelherd","35810±710 - 25900±260","ivory","personal ornament",">>>>! _ >>>>!",">>>> _ >>>>"
"vhc0070","Vogelherd","35810±710 - 25900±260","bone","tube/flute","!vvvvvv!","vvvvvv"
"vhc0071","Vogelherd","35810±710 - 25900±260","bone","undetermined","!||||!","||||"
"vhc0072","Vogelherd","35810±710 - 25900±260","ivory","undetermined","(!XXXXXXX!)",""
"vhc0073","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!vvv!","vvv"
"vhc0074","Vogelherd","35810±710 - 25900±260","ivory","undetermined","(!XXXXX) _ (!XXX) _ v"," _  _ v"
"vhc0075","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!vvvvv!","vvvvv"
"vhc0076","Vogelherd","35810±710 - 25900±260","bone","flute","!////!","////"
"vhc0077","Vogelherd","35810±710 - 25900±260","bone","undetermined","!v v vv v!","v v vv v"
"vhc0078","Vogelherd","35810±710 - 25900±260","ivory","figurine undet.","!vv!","vv"
"vhc0079","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","[!vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv!]",""
"vhc0080","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!/ / //","/ / //"
"vhc0081","Vogelherd","35810±710 - 25900±260","ivory","undetermined","!XXX! _ !vvvv!","XXX _ vvvv"
"vhc0082","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!vvvvv!","vvvvv"
"vhc0083","Vogelherd","35810±710 - 25900±260","ivory","possible figurine","!XXX!","XXX"
"vhc0084","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","|||! _ v _ v _ v _ v _ v","||| _ v _ v _ v _ v _ v"
"vhc0085","Vogelherd","35810±710 - 25900±260","bone","undetermined","vv!","vv"
"vhc0086","Vogelherd","35810±710 - 25900±260","bone","undetermined","!v vv vv!","v vv vv"
"vhc0087","Vogelherd","35810±710 - 25900±260","ivory","figurine zoomorph","(XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX) _ °°°°°°°°°! _ °°°°°°! _ °! _ °! _ ¤¤¤¤¤¤"," _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤"
"vhc0088","Vogelherd","35810±710 - 25900±260","ivory","rod/bâton","!W!","W"
"vhc0089","Vogelherd","35810±710 - 25900±260","ivory","undetermined",">>>>! _ >>!",">>>> _ >>"
