"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
"5,1",6,2,"sse","tanh","rprop+",0.62,0.74,0.01,0.73,0.93,0.82
"5,1,4",10,3,"sse","tanh","rprop+",0.62,0.71,0.06,0.72,0.87,0.79
"5,3",8,2,"sse","tanh","rprop+",0.62,0.73,0.02,0.72,0.92,0.81
"1,3,3",7,3,"sse","tanh","rprop+",0.62,0.6,0.7,0.62,0.97,0.75
"3,4",7,2,"sse","tanh","rprop+",0.62,0.71,0.06,0.72,0.88,0.79
"2",2,1,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"2,4",6,2,"sse","tanh","rprop+",0.62,0.72,0.03,0.73,0.88,0.8
"2,1",3,2,"sse","tanh","rprop+",0.62,0.73,0.02,0.71,0.95,0.81
"5,4",9,2,"sse","tanh","rprop+",0.62,0.69,0.12,0.7,0.88,0.78
"2,3,2",7,3,"sse","tanh","rprop+",0.62,0.73,0.02,0.71,0.95,0.81
"1,2,3,2",8,4,"sse","tanh","rprop+",0.62,0.73,0.02,0.72,0.93,0.81
"3,5,3",11,3,"sse","tanh","rprop+",0.62,0.69,0.12,0.69,0.9,0.78
"3,1,3,5",12,4,"sse","tanh","rprop+",0.62,0.69,0.12,0.73,0.78,0.76
"1,4,3",8,3,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"1,4,4",9,3,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
