"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"1,2,1",4,3,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"3,2,2",7,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.63,0.82,0.71,351
"3,3,2,1",9,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.66,0.67,0.66,351
"2,4,3",9,3,"sse","tanh","rprop+",0.83,0.87,0.011711667438514,0.6,0.8,0.69,351
"2,2,5",9,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.69,0.62,0.65,351
"1,1",2,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"4,3",7,2,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.66,0.67,0.66,351
"3,3,3",9,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.67,0.67,0.67,351
"1,5,3,4",13,4,"sse","tanh","rprop+",0.83,0.87,0.0172837626509831,0.58,0.87,0.7,351
"2",2,1,"sse","tanh","rprop+",0.83,0.9,0.000209973692801993,0.71,0.68,0.69,351
"2,3,2",7,3,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.64,0.72,0.68,351
"4,2",6,2,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.64,0.75,0.69,351
"3,2",5,2,"sse","tanh","rprop+",0.83,0.9,0.000209973692801993,0.71,0.68,0.69,351
"3",3,1,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.68,0.63,0.66,351
"2,1",3,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.6,0.87,0.71,351
"4,4,4",12,3,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.71,0.62,0.66,351
"3,4",7,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.66,0.63,0.64,351
"3,3,2",8,3,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.6,0.87,0.71,351
"5,3,2",10,3,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.69,0.55,0.61,351
"3,2,4,1",10,4,"sse","tanh","rprop+",0.83,0.83,0.589970163339907,0.5,0.88,0.63,351
"2,2,4,1",9,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.63,0.75,0.69,351
"4,5,2",11,3,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.61,0.85,0.71,351
"4,1",5,2,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.66,0.77,0.71,351
"4",4,1,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.67,0.6,0.63,351
"4,3,4",11,3,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.69,0.63,0.66,351
"2,5,5",12,3,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.69,0.67,0.68,351
"2,2",4,2,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.64,0.63,0.64,351
"4",4,1,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.65,0.75,0.7,351
"3,4,3",10,3,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.63,0.77,0.69,351
"1,2,2",5,3,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"2,3",5,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.82,0.72,351
"4,1,4,3",12,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.62,0.64,351
"5,2",7,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.65,0.65,0.65,351
"1",1,1,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"5,3",8,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.69,0.63,0.66,351
"1,3,3",7,3,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"3,4",7,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.62,0.78,0.69,351
"2",2,1,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.69,0.62,0.65,351
"2,4",6,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.66,0.62,0.64,351
"2,1",3,2,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.61,0.78,0.69,351
"5,4",9,2,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.68,0.6,0.64,351
"1,2,3,2",8,4,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"1,4,3",8,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.64,0.78,0.7,351
"1,4,4",9,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.64,0.78,0.7,351
