"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
"2,2",4,2,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.93,0.97
"3,4",7,2,"sse","tanh","rprop+",0.92,0.95,0.05,0.99,0.95,0.97
"5,4,3,2",14,4,"sse","tanh","rprop+",0.92,0.94,0.17,0.98,0.95,0.96
"2,1,1,5",9,4,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"5,2,1",8,3,"sse","tanh","rprop+",0.92,0.94,0.08,0.98,0.96,0.97
"4,2",6,2,"sse","tanh","rprop+",0.92,0.94,0.17,0.98,0.95,0.96
"2,3,2,4",11,4,"sse","tanh","rprop+",0.92,0.95,0.03,0.98,0.97,0.97
"1,2",3,2,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"3,3,5,4",15,4,"sse","tanh","rprop+",0.92,0.93,0.39,0.97,0.95,0.96
"4,4",8,2,"sse","tanh","rprop+",0.92,0.94,0.08,0.98,0.96,0.97
"3",3,1,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"2,4,3,4",13,4,"sse","tanh","rprop+",0.92,0.94,0.17,0.98,0.95,0.96
"4",4,1,"sse","tanh","rprop+",0.92,0.95,0.03,1,0.94,0.97
"1,1,4,3",9,4,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"1,2",3,2,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"2,2,5",9,3,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"3,3,4,3",13,4,"sse","tanh","rprop+",0.92,0.93,0.24,0.98,0.95,0.96
"2,2",4,2,"sse","tanh","rprop+",0.92,0.96,0.01,1,0.95,0.98
"3",3,1,"sse","tanh","rprop+",0.92,0.95,0.05,0.99,0.95,0.97
"5",5,1,"sse","tanh","rprop+",0.92,0.95,0.05,0.98,0.96,0.97
"1,2,1",4,3,"sse","tanh","rprop+",0.92,0.92,0.55,0.92,1,0.96
"3,2,2",7,3,"sse","tanh","rprop+",0.92,0.95,0.05,0.98,0.97,0.97
"2,4,3",9,3,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"2,2,5",9,3,"sse","tanh","rprop+",0.92,0.94,0.08,0.98,0.96,0.97
"3,2,5,4",14,4,"sse","tanh","rprop+",0.92,0.94,0.17,0.98,0.95,0.96
"4,3,3,4",14,4,"sse","tanh","rprop+",0.92,0.94,0.17,0.97,0.96,0.96
"1,1",2,2,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"4,3",7,2,"sse","tanh","rprop+",0.92,0.95,0.03,0.99,0.96,0.97
"1,5,3,4",13,4,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"2",2,1,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"2,3,2",7,3,"sse","tanh","rprop+",0.92,0.94,0.12,0.98,0.95,0.97
"4,2",6,2,"sse","tanh","rprop+",0.92,0.93,0.24,0.98,0.95,0.96
"3",3,1,"sse","tanh","rprop+",0.92,0.95,0.02,1,0.95,0.97
"2,1",3,2,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"4,4,4",12,3,"sse","tanh","rprop+",0.92,0.93,0.31,0.97,0.95,0.96
"3,4",7,2,"sse","tanh","rprop+",0.92,0.94,0.08,0.98,0.95,0.97
"3,3,2",8,3,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"5,3,2",10,3,"sse","tanh","rprop+",0.92,0.94,0.17,0.99,0.94,0.96
"3,2,4,1",10,4,"sse","tanh","rprop+",0.92,0.95,0.03,0.98,0.97,0.97
"2,2,4,1",9,4,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"4,5,2",11,3,"sse","tanh","rprop+",0.92,0.94,0.12,0.98,0.95,0.97
"4,5,4,4",17,4,"sse","tanh","rprop+",0.92,0.95,0.05,0.99,0.95,0.97
"4,1",5,2,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"4",4,1,"sse","tanh","rprop+",0.92,0.94,0.12,0.98,0.95,0.97
"4,3,4",11,3,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"2,5,5",12,3,"sse","tanh","rprop+",0.92,0.95,0.02,0.99,0.96,0.97
"2,2",4,2,"sse","tanh","rprop+",0.92,0.95,0.05,1,0.94,0.97
"4",4,1,"sse","tanh","rprop+",0.92,0.95,0.03,0.98,0.97,0.97
"3,4,3",10,3,"sse","tanh","rprop+",0.92,0.95,0.02,1,0.95,0.97
"1,2,2",5,3,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"2,3",5,2,"sse","tanh","rprop+",0.92,0.95,0.05,0.98,0.97,0.97
"5,2",7,2,"sse","tanh","rprop+",0.92,0.95,0.03,0.99,0.95,0.97
"1",1,1,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"5,1",6,2,"sse","tanh","rprop+",0.92,0.93,0.31,0.97,0.95,0.96
"5,3",8,2,"sse","tanh","rprop+",0.92,0.94,0.08,0.98,0.96,0.97
"1,3,3",7,3,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"3,4",7,2,"sse","tanh","rprop+",0.92,0.95,0.03,0.98,0.97,0.97
"4,2,3,2",11,4,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"2",2,1,"sse","tanh","rprop+",0.92,0.95,0.03,0.99,0.96,0.97
"2,4",6,2,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
"2,1",3,2,"sse","tanh","rprop+",0.92,0.95,0.03,1,0.95,0.97
"5,4",9,2,"sse","tanh","rprop+",0.92,0.94,0.12,0.98,0.95,0.97
"2,3,2",7,3,"sse","tanh","rprop+",0.92,0.95,0.03,0.99,0.96,0.97
"1,2,3,2",8,4,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"3,5,3",11,3,"sse","tanh","rprop+",0.92,0.95,0.05,0.98,0.97,0.97
"1,4,3",8,3,"sse","tanh","rprop+",0.92,0.94,0.12,1,0.94,0.97
"1,4,4",9,3,"sse","tanh","rprop+",0.92,0.94,0.08,1,0.94,0.97
