"tablet.id","signs.orig.vec","signs.expand.vec"
"P000050","1(N01) _ NAM2 _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ ME~a _ NUN~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SANGA~a _ SUKKAL _ A","N01 _ NAM2 _ N01 _ N01 _ N01 _ N01 _ ME~a _ NUN~a _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ SANGA~a _ SUKKAL _ A"
"P000051","1(N01) _ GAL~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ KU3~a _ 1(N01) _ 1(N01) _ GAL~a _ IM~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ |ZATU737xSAL| _ 1(N01)","N01 _ GAL~a _ N01 _ N01 _ N01 _ N01 _ N01 _ KU3~a _ N01 _ N01 _ GAL~a _ IM~a _ N01 _ N01 _ N01 _ N01 _ N01 _ |ZATU737xSAL| _ N01"
"P000053","1(N01) _ DUG~c","N01 _ DUG~c"
"P000054","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ ERIN _ 1(N01) _ SANGA~a _ 1(N01) _ GAL~a _ UMUN2 _ 1(N01) _ UMUN2 _ 1(N01) _ GAL~a _ 1(N01) _ GAL~a _ 1(N01) _ IM~a","N01 _ N01 _ N01 _ N01 _ N01 _ ERIN _ N01 _ SANGA~a _ N01 _ GAL~a _ UMUN2 _ N01 _ UMUN2 _ N01 _ GAL~a _ N01 _ GAL~a _ N01 _ IM~a"
"P000055","1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ TE _ 1(N01) _ 1(N01) _ 1(N01) _ UMUN2 _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ N01 _ N01 _ GAL~a _ TE _ N01 _ N01 _ N01 _ UMUN2 _ N01 _ N01 _ N01"
"P000056","",""
"P000057","1(N01) _ 1(N01) _ GAL~a _ TAG~a2 _ 1(N01) _ SANGA~a _ 1(N01) _ 1(N01) _ 1(N01) _ SAG _ 1(N01) _ ZATU725 _ 1(N01) _ 1(N01) _ ME~a _ 1(N01) _ 1(N01) _ 1(N01) _ GAR _ 1(N01) _ 1(N01) _ 1(N01) _ GAL~a _ SZAGAN _ 1(N01) _ ENGIZ _ 1(N01)","N01 _ N01 _ GAL~a _ TAG~a2 _ N01 _ SANGA~a _ N01 _ N01 _ N01 _ SAG _ N01 _ ZATU725 _ N01 _ N01 _ ME~a _ N01 _ N01 _ N01 _ GAR _ N01 _ N01 _ N01 _ GAL~a _ SZAGAN _ N01 _ ENGIZ _ N01"
"P000058","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SZE3@t _ GA'AR~a1 _ 1(N01) _ GA'AR~a1 _ 1(N01)","N01 _ N01 _ N01 _ N01 _ N01 _ N01 _ SZE3@t _ GA'AR~a1 _ N01 _ GA'AR~a1 _ N01"
"P000060","1(N01) _ 1(N01) _ 1(N01) _ SAL","N01 _ N01 _ N01 _ SAL"
"P000061","1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ BU~a _ SZAB~a _ 1(N01) _ NESAG2~a","N01 _ N01 _ N01 _ N01 _ N01 _ BU~a _ SZAB~a _ N01 _ NESAG2~a"
"P000062","1(N01) _ ISZ~b _ 1(N01) _ 1(N01) _ SZA3~a1 _ URI _ 1(N01)","N01 _ ISZ~b _ N01 _ N01 _ SZA3~a1 _ URI _ N01"
"P000063","1(N01) _ AN _ NU _ GIR~a _ 1(N01) _ ZATU806","N01 _ AN _ NU _ GIR~a _ N01 _ ZATU806"
"P000064","1(N01) _ 1(N01) _ U2~b _ |GA~cx1(N14)| _ 1(N01) _ GA'AR~a1 _ 1(N01) _ GA'AR~a1","N01 _ N01 _ U2~b _ |GA~cx1(N14)| _ N01 _ GA'AR~a1 _ N01 _ GA'AR~a1"
