id,comments,object_id,ensemble_id,techno_complex,site_name,location,country,longitude,latitude,layer,dating_method,date_bp_max_min,excavation_year,material,object_type,length_mm,width_mm,depth_mm,preservation,short_description,references,sign_coding,coding_certainty
335,,ver0002,,Aurignacien,Grotte de la Verpillière I,Germolles,France,4.741500,46.808900,,C14,34010±610 - 29020±170,,bone,spatula/lissoir,50.0,18.0,,fragmented,Knochen mit parallelen Ritzungen aus der Kollektion Gros,Floss H et al. 2013; Dutkiewicz E. 2011: p. 86 fig. 62,,
334,,cas0022,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,antler,bâton percé,,,,fragmented,bâtons percés en bois de Renne avec incisions parallèles,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 11.3,,
333,,cas0021,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,antler,bâton percé,,,,fragmented,bâtons percés en bois de Renne avec incisions parallèles,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 11.2,,
332,,cas0020,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,bone,rod/bâton,,,,almost complete,Objet en os décoré,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.10,,
331,,cas0019,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,bone,rod/bâton,,,,almost complete,Objet en os décoré,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.9,,
330,,cas0018,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,bone,awl,,,,almost complete,Objet en os décoré,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.8,,
329,,cas0017,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,bone,awl,,,,almost complete,Objet en os décoré,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.7,,
328,,cas0016,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,bone,other,,,,fragmented,Objet en os décoré,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.5,,
327,,cas0015,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,bone,spatula/lissoir,,,,fragmented,Objet en os décoré,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.4,,
326,,cas0014,,Aurignacien,Castanet,Sergeac (Dordogne),France,1.120000,44.990000,I,AMS,34320±520 - 31900±450,1911-1913,ivory,other,,,,complete,lame d'ivoire à bords découpés arrondis et cochés,White R. et al. 2012; Peyrony D. 1935: p. 434 fig. 17.1,,
