"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random"
"vhc0146",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","figurine zoomorph","Equus ferus",48,25,8,"fragmented","MUT Tübingen","Find No.: Vg 2.2","XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv","certain","XXXXXXXXXXXXX_vvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvv_XXXXXXXXXXXXX"
"vhc0145",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","figurine zoomorph","Mammuthus primigenius",50,32,22,"almost complete","MUT Tübingen","Find No.: Vg 2.1","(/X)XXXXXYYY _ X(XX) _ (X/X)XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX","very certain","XXXXXYYY_X_XXXX_XVXXY_°°°_°°°°°°°_XXXX_>>>XXX_⊞_XXXXX","°°°°°°°_>>>XXX_XXXXXYYY_°°°_XXXX_X_XXXXX_⊞_XXXX_XVXXY"
"vhc0144",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","ivory","Mammuthus primigenius","figurine zoomorph","undetermined",62,23,8,"fragmented","MUT Tübingen","Find No.: Vg 17973","– – – – – _ !/////////////////! _ !///////////////!","certain","– – – – –_/////////////////_///////////////","– – – – –_/////////////////_///////////////"
"vhc0169",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","bone","undetermined","spatula/lissoir","",47,8,5,"fragmented","Universität Tübingen","Find No.: Vg 127.4","vvvvvvvvvv!","very certain","vvvvvvvvvv","vvvvvvvvvv"
"vhc0143",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","bone","undetermined","undetermined","",60,10,2,"almost complete","Universität Tübingen","Find No.: Vg 127.2","vvv vvvv","very certain","vvv vvvv","vvv vvvv"
"vhc0141",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2009","bone","undetermined","tube/flute","",19,4,2,"fragmented","Universität Tübingen","Find No.: 99/99-1333.1","!vvvv!","very certain","vvvv","vvvv"
"vhc0140",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2008","ivory","Mammuthus primigenius","rod/baton","",13,4,4,"fragmented","Universität Tübingen","Find No.: 99/99-1002.1","!vvv!","very certain","vvv","vvv"
"vhc0139",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2012","ivory","Mammuthus primigenius","undetermined","",45,18,7,"fragmented","Universität Tübingen","Find No.: 99/99-1000","!| || |!","certain","| || |","| || |"
"vhc0138",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2010","bone","undetermined","tube/flute","",17,6,3,"fragmented","Universität Tübingen","Find No.: 78/65-40.1","!vvvv! _ !vvvvv!","very certain","vvvv_vvvvv","vvvvv_vvvv"
"vhc0137",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","HL/KS","C14","26160±150","KIA 8957","35810±710","PL0001337A","2010","ivory","Mammuthus primigenius","possible flute","",14,4,2,"fragmented","Universität Tübingen","Find No.: 77/66-18.1","!vvv!","very certain","vvv","vvv"
