"object_id","ensemble_id","archaeological_unit","site_name","location","location__short_name","location__location","location__country","latitude","longitude","location__coord_precision","location__coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean"
"vhc0155","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","figurine zoomorph",64,26,17,"fragmented","°!°°°°°°°°°°! _ °°°°°°°° _ !°°°°°°°°°°°! _ °°°°°°°°°°°°°° _ vvvXXX! _ !vvvvvv! _ !vvvvv! _ [CCCC] _ [CCCC] _ [CCCC] _ |||! _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ≠ _ || _ °!","Very certain","°°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ≠ _ || _ °"
"vhc0154","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","figurine zoomorph",65,26,11,"fragmented","≠ _ |||||","Certain","≠ _ |||||"
"vhc0153","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","rod/bâton",60,10,10,"fragmented","|||| || || | _ |||||| | | | _ !||||||||","Very certain","|||| || || | _ |||||| | | | _ ||||||||"
"vhc0152","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","bâton percé",133,31,10,"almost complete","|||| _ ||||| _ ||||||||","Uncertain","|||| _ ||||| _ ||||||||"
"vhc0151","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","fossil","undetermined",77,24,26,"almost complete","v v vvv vv","Very certain","v v vvv vv"
"vhc0149","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","32030±280 - 26160±150",NA,NA,NA,"1931","ivory","undetermined",38,14,5,"fragmented","!|||||||","Very certain","|||||||"
"vhc0148","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","","C14","35810±710 - 25900±260",NA,NA,NA,"1950","sandstone","possible figurine",54,40,32,"complete","||||||||||| _ [||||||||||||||||||||||||] _ [||||||||||||||||||||||||]","Very certain","|||||||||||"
"vhc0147","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","figurine zoomorph",68,24,14,"fragmented","|||||X _ (!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!) _ (!°°°°°°°°°°°°°°°°°!) _ ||||","Very certain","|||||X _ ||||"
"vhc0146","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","figurine zoomorph",48,25,8,"fragmented","XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv","Very certain","XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv"
"vhc0145","","Aurignacien","Vogelherd","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","35810±710 - 25900±260",NA,NA,NA,"1931","ivory","figurine zoomorph",50,32,22,"almost complete","(/X)XXXXXYYY _ X(XX) _ (X/X)XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX","Very certain","XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX"
