object_id,ensemble_id,archaeological_unit,site_name,location,location__short_name,location__location,location__country,latitude,longitude,location__coord_precision,location__coord_reference,layer,dating_method,date_bp_min,min_lab_number,date_bp_max,max_lab_number,excavation_year,material,object_type,associated_species,length_mm,width_mm,depth_mm,preservation,short_description,references,sign_coding,coding_certainty
sgr0027,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivièr,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"right red deer canine with marings on the occlusal surface, approximal to center","Vanhaeren & d'Errico  2003, Fig. 6.27; Vanhaeren & d'Errico  2003, Fig. 13.12; Gambier et al. 2000; Vermeersch 2016",|Y,Very certain
sgr0026,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.26",,
sgr0025,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"left red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.25; Vanhaeren & d'Errico  2003, Fig. 13.9; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|ll|||ll?| |,Certain
sgr0024,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.24",,
sgr0023,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.23",,
sgr0022,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,red deer canine. no markings,"Vanhaeren & d'Errico  2003, Fig. 6.22; Gambier et al. 2000; Vermeersch 2016",,
sgr0021,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"left red deer canine with marking son the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.21; Vanhaeren & d'Errico  2003, Fig. 13.8; Gambier et al. 2000; Vermeersch 2016",Y||,Very certain
sgr0020,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"left red deer canine with markings on the occlusal surface, centre, lingual. Transscript based on photo.","Vanhaeren & d'Errico  2003, Fig. 6.20; Vanhaeren & d'Errico  2003, Fig. 13.7; Blanchard et al. 1972, Pl. I; von Petzinger 2017; Gambier et al. 2000; Vermeersch 2016",|X|,Uncertain
sgr0019,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"left red deer canine with markings on the occlusal surface, centered","Vanhaeren & d'Errico  2003, Fig. 6.19; Vanhaeren & d'Errico  2003, Fig. 13.6; von Petzinger 2017; Gambier et al. 2000; Vermeersch 2016",||l|,Very certain
sgr0018,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AM,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"lefr red deer canine with markings on the occusal surface, central. Transscript based on photo.","Vanhaeren & d'Errico  2003, Fig. 6.18; Vanhaeren & d'Errico  2003, Fig. 13.5; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|X,Uncertain
sgr0017,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.17; Gambier et al. 2000; Vermeersch 2016",,
sgr0016,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"left red deer canine, markings on the entire occlusal surface.","Vanhaeren & d'Errico  2003, Fig. 6.16; Vanhaeren & d'Errico  2003, Fig. 13.4; Blanchard et al. 1972, Pl. I; von Petzinger 2017; Gambier et al. 2000; Vermeersch 2016",||||X,Very certain
sgr0015,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.15; Gambier et al. 2000; Vermeersch 2016",,
sgr0014,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.14;  Gambier et al. 2000; Vermeersch 2016",,
sgr0013,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"left red deer canine with markings on the occlusal surface, 2/3 approximal","Vanhaeren & d'Errico  2003, Fig. 6.13; Vanhaeren & d'Errico  2003, Fig. 13.10; Blanchard et al. 1972, Pl. I;  Gambier et al. 2000; Vermeersch 2016",| || |,Very certain
sgr0012,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,red deer canine,"Vanhaeren & d'Errico  2003, Fig. 6.12; Gambier et al. 2000; Vermeersch 2016",,
sgr0011,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, left. Not examined, No transscript possible.","Vanhaeren & d'Errico  2003, Fig. 6.11; Vanhaeren & d'Errico  2003, Fig. 13.3; von Petzinger 2017; Gambier et al. 2000; Vermeersch 2016",,Very uncertain
sgr0010,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,"AMS, 858 (GifA 95456)","15,780 ± 200",,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.10; Gambier et al. 2000; Vermeersch 2016",,
sgr0009,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
sgr0008,sgr_ens_01,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
sgr0007,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,; Gambier et al. 2000,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.7; Gambier et al. 2000; Vermeersch 2016",,
sgr0006,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.6; Gambier et al. 2000; Vermeersch 2016",,
sgr0005,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, not examined","Vanhaeren & d'Errico  2003, Fig. 6.5; Gambier et al. 2000; Vermeersch 2016",,
sgr0004,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"red deer canine, not examined","Vanhaeren & d'Errico  2003, Fig. 6.4; Gambier et al. 2000; Vermeersch 2016",,
sgr0003,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,"AMS,",15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmented,canine of a red deer,"Vanhaeren & d'Errico  2003, Fig. 6.3; Gambier et al. 2000; Vermeersch 2016",,
sgr0002,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,MAS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"left canine of a red deer, markings on the occlusal surface, approximal","Vanhaeren & d'Errico  2003, Fig. 6.2; Vanhaeren & d'Errico  2003, Fig. 13.2; von Petzinger 2017; Gambier et al. 2000; Vermeersch 2016",⚹°,Very certain
sgr0001,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"left canine of a red deer, markings on the occlusal surface","Vanhaeren & d'Errico  2003, Fig. 6.1; Vanhaeren & d'Errico  2003, Fig. 13. 1; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|| |,Uncertain
